date,ncase,ndeath,gender,area,country,type,death
29/05/2020,39,6,unknown,unknown,ireland,confirmed,covid
29/05/2020,-4,0,unknown,unknown,ireland, denotified, denotified
30/05/2020,13,1,unknown,north,ireland,confirmed,covid
30/05/2020,59,9,unknown,unknown,ireland,confirmed,covid
30/05/2020,-6,-3,unknown,unknown,ireland, denotified, denotified
31/05/2020,7,1,unknown,north,ireland,confirmed,covid
31/05/2020,66,2,unknown,unknown,ireland,confirmed,covid
31/05/2020,-5,-1,unknown,unknown,ireland, denotified, denotified
01/06/2020,12,1,unknown,north,ireland,confirmed,covid
01/06/2020,77,1,unknown,unknown,ireland,confirmed,covid
01/06/2020,-5,-3,unknown,unknown,ireland, denotified, denotified
02/06/2020,4,2,unknown,north,ireland,confirmed,covid
02/06/2020,10,8,unknown,unknown,ireland,confirmed,covid
02/06/2020,-6,0,unknown,unknown,ireland, denotified, denotified
03/06/2020,8,8,unknown,north,ireland,confirmed,covid
03/06/2020,47,3,unknown,unknown,ireland,confirmed,covid
03/06/2020,-2,-2,unknown,unknown,ireland, denotified, denotified
04/06/2020,33,1,unknown,north,ireland,confirmed,covid
04/06/2020,38,5,unknown,unknown,ireland,confirmed,covid
04/06/2020,-7,0,unknown,unknown,ireland, denotified, denotified
05/06/2020,3,1,unknown,north,ireland,confirmed,covid
05/06/2020,28,7,unknown,unknown,ireland,confirmed,covid
05/06/2020,-7,-1,unknown,unknown,ireland, denotified, denotified
06/06/2020,14,1,unknown,north,ireland,confirmed,covid
06/06/2020,24,9,unknown,unknown,ireland,confirmed,covid
06/06/2020,-4,-1,unknown,unknown,ireland, denotified, denotified
07/06/2020,6,0,unknown,north,ireland,confirmed,covid
07/06/2020,25,1,unknown,unknown,ireland,confirmed,covid
07/06/2020,-7,0,unknown,unknown,ireland, denotified, denotified
08/06/2020,6,0,unknown,north,ireland,confirmed,covid
08/06/2020,9,4,unknown,unknown,ireland,confirmed,covid
08/06/2020,-3,0,unknown,unknown,ireland, denotified, denotified
09/06/2020,3,0,unknown,north,ireland,confirmed,covid
09/06/2020,9,9,unknown,unknown,ireland,confirmed,covid
09/06/2020,-1,-1,unknown,unknown,ireland, denotified, denotified
10/06/2020,13,0,unknown,north,ireland,confirmed,covid
10/06/2020,19,5,unknown,unknown,ireland,confirmed,covid
10/06/2020,-3,-1,unknown,unknown,ireland, denotified, denotified
11/06/2020,4,1,unknown,north,ireland,confirmed,covid
11/06/2020,8,8,unknown,unknown,ireland,confirmed,covid
11/06/2020,-1,0,unknown,unknown,ireland, denotified, denotified
12/06/2020,16,1,unknown,north,ireland,confirmed,covid
12/06/2020,13,3,unknown,unknown,ireland,confirmed,covid
12/06/2020,-1,-1,unknown,unknown,ireland, denotified, denotified
13/06/2020,3,2,unknown,north,ireland,confirmed,covid
13/06/2020,24,5,unknown,unknown,ireland,confirmed,covid
13/06/2020,22,0,unknown,unknown,ireland, late_confirmed,covid
13/06/2020,-1,-5,unknown,unknown,ireland, denotified, denotified
14/06/2020,7,0,unknown,north,ireland,confirmed,covid
14/06/2020,8,1,unknown,unknown,ireland,confirmed,covid
14/06/2020,0,0,unknown,unknown,ireland, denotified, denotified
15/06/2020,4,0,unknown,north,ireland,confirmed,covid
15/06/2020,18,0,unknown,unknown,ireland,confirmed,covid
15/06/2020,0,0,unknown,unknown,ireland, denotified, denotified
16/06/2020,2,1,unknown,north,ireland,confirmed,covid
16/06/2020,14,3,unknown,unknown,ireland,confirmed,covid
16/06/2020,-1,0,unknown,unknown,ireland, denotified, denotified
17/06/2020,8,1,unknown,north,ireland,confirmed,covid
17/06/2020,8,3,unknown,unknown,ireland,confirmed,covid
17/06/2020,-1,-2,unknown,unknown,ireland, denotified, denotified
18/06/2020,1,0,unknown,north,ireland,confirmed,covid
18/06/2020,16,4,unknown,unknown,ireland,confirmed,covid
18/06/2020,-2,0,unknown,unknown,ireland, denotified, denotified
19/06/2020,3,1,unknown,north,ireland,confirmed,covid
19/06/2020,13,2,unknown,unknown,ireland,confirmed,covid
19/06/2020,0,-2,unknown,unknown,ireland, denotified, denotified
20/06/2020,0,1,unknown,north,ireland,confirmed,covid
20/06/2020,22,2,unknown,unknown,ireland,confirmed,covid
20/06/2020,-16,-1,unknown,unknown,ireland, denotified, denotified
21/06/2020,4,0,unknown,north,ireland,confirmed,covid
21/06/2020,6,0,unknown,unknown,ireland,confirmed,covid
21/06/2020,-1,0,unknown,unknown,ireland, denotified, denotified
22/06/2020,1,0,unknown,north,ireland,confirmed,covid
22/06/2020,4,2,unknown,unknown,ireland,confirmed,covid
23/06/2020,0,1,unknown,north,ireland,confirmed,covid
23/06/2020,10,3,unknown,unknown,ireland,confirmed,covid
23/06/2020,-2,0,unknown,unknown,ireland, denotified, denotified
24/06/2020,2,0,unknown,north,ireland,confirmed,covid
24/06/2020,5,6,unknown,unknown,ireland,confirmed,covid
25/06/2020,851,0,unknown,north,ireland,confirmed,covid
25/06/2020,11,1,unknown,unknown,ireland,confirmed,covid
25/06/2020,-2,0,unknown,unknown,ireland, denotified, denotified
26/06/2020,24,1,unknown,north,ireland,confirmed,covid
26/06/2020,11,3,unknown,unknown,ireland,confirmed,covid
26/06/2020,-2,0,unknown,unknown,ireland, denotified, denotified
27/06/2020,2,1,unknown,north,ireland,confirmed,covid
27/06/2020,23,6,unknown,unknown,ireland,confirmed,covid
27/06/2020,0,-2,unknown,unknown,ireland, denotified, denotified
28/06/2020,1,1,unknown,north,ireland,confirmed,covid
28/06/2020,3,1,unknown,unknown,ireland,confirmed,covid
28/06/2020,-1,0,unknown,unknown,ireland, denotified, denotified
29/06/2020,6,1,unknown,north,ireland,confirmed,covid
29/06/2020,24,0,unknown,unknown,ireland,confirmed,covid
29/06/2020,-1,0,unknown,unknown,ireland, denotified, denotified
30/06/2020,3,0,unknown,north,ireland,confirmed,covid
30/06/2020,11,1,unknown,unknown,ireland,confirmed,covid
01/07/2020,1,0,unknown,north,ireland,confirmed,covid
01/07/2020,6,3,unknown,unknown,ireland,confirmed,covid
01/07/2020,-2,-1,unknown,unknown,ireland, denotified, denotified
02/07/2020,7,1,unknown,north,ireland,confirmed,covid
02/07/2020,15,5,unknown,unknown,ireland,confirmed,covid
02/07/2020,-3,-5,unknown,unknown,ireland, denotified, denotified
03/07/2020,-26,2,unknown,north,ireland,confirmed,covid
03/07/2020,9,2,unknown,unknown,ireland,confirmed,covid
04/07/2020,0,0,unknown,north,ireland,confirmed,covid
04/07/2020,11,1,unknown,unknown,ireland,confirmed,covid
05/07/2020,0,0,unknown,north,ireland,confirmed,covid
05/07/2020,18,0,unknown,unknown,ireland,confirmed,covid
05/07/2020,0,0,unknown,unknown,ireland, denotified, denotified
06/07/2020,9,0,unknown,north,ireland,confirmed,covid
06/07/2020,4,0,unknown,unknown,ireland,confirmed,covid
07/07/2020,5,0,unknown,north,ireland,confirmed,covid
07/07/2020,24,1,unknown,unknown,ireland,confirmed,covid
07/07/2020,-17,0,unknown,unknown,ireland, denotified, denotified
08/07/2020,4,0,unknown,north,ireland,confirmed,covid
08/07/2020,11,0,unknown,unknown,ireland,confirmed,covid
08/07/2020,-7,-4,unknown,unknown,ireland, denotified, denotified
09/07/2020,3,0,unknown,north,ireland,confirmed,covid
09/07/2020,23,6,unknown,unknown,ireland,confirmed,covid
09/07/2020,0,-1,unknown,unknown,ireland, denotified, denotified
10/07/2020,4,0,unknown,north,ireland,confirmed,covid
10/07/2020,25,1,unknown,unknown,ireland,confirmed,covid
10/07/2020,-1,0,unknown,unknown,ireland, denotified, denotified
11/07/2020,0,0,unknown,north,ireland,confirmed,covid
11/07/2020,23,2,unknown,unknown,ireland,confirmed,covid
11/07/2020,-1,0,unknown,unknown,ireland, denotified, denotified
12/07/2020,0,0,unknown,north,ireland,confirmed,covid
12/07/2020,17,0,unknown,unknown,ireland,confirmed,covid
13/07/2020,6,2,unknown,north,ireland,confirmed,covid
13/07/2020,11,0,unknown,unknown,ireland,confirmed,covid
13/07/2020,-1,0,unknown,unknown,ireland, denotified, denotified
14/07/2020,12,0,unknown,north,ireland,confirmed,covid
14/07/2020,32,0,unknown,unknown,ireland,confirmed,covid
15/07/2020,9,0,unknown,north,ireland,confirmed,covid
15/07/2020,14,2,unknown,unknown,ireland,confirmed,covid
15/07/2020,-1,0,unknown,unknown,ireland, denotified, denotified
16/07/2020,16,0,unknown,north,ireland,confirmed,covid
16/07/2020,21,1,unknown,unknown,ireland,confirmed,covid
16/07/2020,-6,0,unknown,unknown,ireland, denotified, denotified
17/07/2020,19,0,unknown,north,ireland,confirmed,covid
17/07/2020,34,3,unknown,unknown,ireland,confirmed,covid
17/07/2020,-2,0,unknown,unknown,ireland, denotified, denotified
18/07/2020,9,0,unknown,north,ireland,confirmed,covid
18/07/2020,21,2,unknown,unknown,ireland,confirmed,covid
18/07/2020,-1,-1,unknown,unknown,ireland, denotified, denotified
19/07/2020,23,0,unknown,north,ireland,confirmed,covid
19/07/2020,10,0,unknown,unknown,ireland,confirmed,covid
20/07/2020,2,0,unknown,north,ireland,confirmed,covid
20/07/2020,6,0,unknown,unknown,ireland,confirmed,covid
21/07/2020,9,0,unknown,north,ireland,confirmed,covid
21/07/2020,36,0,unknown,unknown,ireland,confirmed,covid
22/07/2020,8,0,unknown,north,ireland,confirmed,covid
22/07/2020,17,1,unknown,unknown,ireland,confirmed,covid
23/07/2020,0,0,unknown,north,ireland,confirmed,covid
23/07/2020,7,9,unknown,unknown,ireland,confirmed,covid
24/07/2020,15,0,unknown,north,ireland,confirmed,covid
24/07/2020,20,0,unknown,unknown,ireland,confirmed,covid
24/07/2020,-1,0,unknown,unknown,ireland, denotified, denotified
25/07/2020,7,0,unknown,north,ireland,confirmed,covid
25/07/2020,24,1,unknown,unknown,ireland,confirmed,covid
26/07/2020,7,0,unknown,north,ireland,confirmed,covid
26/07/2020,12,0,unknown,unknown,ireland,confirmed,covid
27/07/2020,7,0,unknown,north,ireland,confirmed,covid
27/07/2020,11,0,unknown,unknown,ireland,confirmed,covid
28/07/2020,9,0,unknown,north,ireland,confirmed,covid
28/07/2020,40,0,unknown,unknown,ireland,confirmed,covid
28/07/2020,-3,0,unknown,unknown,ireland, denotified, denotified
29/07/2020,9,0,unknown,north,ireland,confirmed,covid
29/07/2020,14,0,unknown,unknown,ireland,confirmed,covid
29/07/2020,-1,0,unknown,unknown,ireland, denotified, denotified
30/07/2020,8,0,unknown,north,ireland,confirmed,covid
30/07/2020,85,1,unknown,unknown,ireland,confirmed,covid
30/07/2020,0,-2,unknown,unknown,ireland, denotified, denotified
31/07/2020,10,0,unknown,north,ireland,confirmed,covid
31/07/2020,38,0,unknown,unknown,ireland,confirmed,covid
01/08/2020,13,0,unknown,north,ireland,confirmed,covid
01/08/2020,45,0,unknown,unknown,ireland,confirmed,covid
01/08/2020,-1,0,unknown,unknown,ireland, denotified, denotified
02/08/2020,13,0,unknown,north,ireland,confirmed,covid
02/08/2020,53,0,unknown,unknown,ireland,confirmed,covid
03/08/2020,14,0,unknown,north,ireland,confirmed,covid
03/08/2020,46,0,unknown,unknown,ireland,confirmed,covid
04/08/2020,8,0,unknown,north,ireland,confirmed,covid
04/08/2020,45,0,unknown,unknown,ireland,confirmed,covid
05/08/2020,10,0,unknown,north,ireland,confirmed,covid
05/08/2020,50,0,unknown,unknown,ireland,confirmed,covid
06/08/2020,43,0,unknown,north,ireland,confirmed,covid
06/08/2020,69,5,unknown,unknown,ireland,confirmed,covid
07/08/2020,15,0,unknown,north,ireland,confirmed,covid
07/08/2020,98,4,unknown,unknown,ireland,confirmed,covid
08/08/2020,25,0,unknown,north,ireland,confirmed,covid
08/08/2020,174,1,unknown,unknown,ireland,confirmed,covid
08/08/2020,0,-1,unknown,unknown,ireland, denotified, denotified
09/08/2020,25,0,unknown,north,ireland,confirmed,covid
