date,county,ncase
05/04/2020,Longford,25
05/04/2020,Louth,85
05/04/2020,Mayo,126
05/04/2020,Meath,168
05/04/2020,Offaly,73
05/04/2020,Roscommon,22
05/04/2020,Sligo,28
05/04/2020,Tipperary,133
05/04/2020,Wexford,22
05/04/2020,Kerry,117
05/04/2020,Waterford,49
05/04/2020,Westmeath,121
05/04/2020,Wicklow,171
05/04/2020,Galway,128
05/04/2020,Limerick,143
05/04/2020,Cork,421
05/04/2020,Dublin,3061
06/04/2020,Laois,34
06/04/2020,Leitrim,20
06/04/2020,Monaghan,62
06/04/2020,Carlow,15
06/04/2020,Cavan,129
06/04/2020,Clare,66
06/04/2020,Donegal,120
06/04/2020,Kildare,233
06/04/2020,Kilkenny,88
06/04/2020,Longford,35
06/04/2020,Louth,96
06/04/2020,Mayo,130
06/04/2020,Meath,183
06/04/2020,Offaly,77
06/04/2020,Roscommon,22
06/04/2020,Sligo,28
06/04/2020,Tipperary,137
06/04/2020,Wexford,24
06/04/2020,Kerry,122
06/04/2020,Waterford,52
06/04/2020,Westmeath,134
06/04/2020,Wicklow,181
06/04/2020,Galway,134
06/04/2020,Limerick,160
06/04/2020,Cork,431
06/04/2020,Dublin,3268
07/04/2020,Laois,37
07/04/2020,Leitrim,23
07/04/2020,Monaghan,63
07/04/2020,Carlow,16
07/04/2020,Cavan,132
07/04/2020,Clare,68
07/04/2020,Donegal,125
07/04/2020,Kildare,253
07/04/2020,Kilkenny,90
07/04/2020,Longford,36
07/04/2020,Louth,106
07/04/2020,Mayo,134
07/04/2020,Meath,198
07/04/2020,Offaly,81
07/04/2020,Roscommon,22
07/04/2020,Sligo,28
07/04/2020,Tipperary,140
07/04/2020,Wexford,26
07/04/2020,Kerry,125
07/04/2020,Waterford,56
07/04/2020,Westmeath,142
07/04/2020,Wicklow,207
07/04/2020,Galway,134
07/04/2020,Limerick,173
07/04/2020,Cork,472
07/04/2020,Dublin,3557
08/04/2020,Laois,49
08/04/2020,Leitrim,25
08/04/2020,Monaghan,63
08/04/2020,Carlow,19
08/04/2020,Cavan,151
08/04/2020,Clare,69
08/04/2020,Donegal,145
08/04/2020,Kildare,290
08/04/2020,Kilkenny,96
08/04/2020,Longford,41
08/04/2020,Louth,116
08/04/2020,Mayo,153
08/04/2020,Meath,206
08/04/2020,Offaly,88
08/04/2020,Roscommon,26
08/04/2020,Sligo,31
08/04/2020,Tipperary,151
08/04/2020,Wexford,30
08/04/2020,Kerry,145
08/04/2020,Waterford,60
08/04/2020,Westmeath,152
08/04/2020,Wicklow,237
08/04/2020,Galway,160
08/04/2020,Limerick,186
08/04/2020,Cork,503
08/04/2020,Dublin,3873
09/04/2020,Laois,61
09/04/2020,Leitrim,31
09/04/2020,Monaghan,81
09/04/2020,Carlow,22
09/04/2020,Cavan,169
09/04/2020,Clare,85
09/04/2020,Donegal,167
09/04/2020,Kildare,332
09/04/2020,Kilkenny,115
09/04/2020,Longford,45
09/04/2020,Louth,133
09/04/2020,Mayo,168
09/04/2020,Meath,230
09/04/2020,Offaly,104
09/04/2020,Roscommon,27
09/04/2020,Sligo,39
09/04/2020,Tipperary,166
09/04/2020,Wexford,39
09/04/2020,Kerry,155
09/04/2020,Waterford,63
09/04/2020,Westmeath,181
09/04/2020,Wicklow,246
09/04/2020,Galway,169
09/04/2020,Limerick,222
09/04/2020,Cork,581
09/04/2020,Dublin,4156
10/04/2020,Laois,71
10/04/2020,Leitrim,32
10/04/2020,Monaghan,88
10/04/2020,Carlow,32
10/04/2020,Cavan,210
10/04/2020,Clare,88
10/04/2020,Donegal,188
10/04/2020,Kildare,360
10/04/2020,Kilkenny,124
10/04/2020,Longford,49
10/04/2020,Louth,143
10/04/2020,Mayo,183
10/04/2020,Meath,249
10/04/2020,Offaly,119
10/04/2020,Roscommon,31
10/04/2020,Sligo,45
10/04/2020,Tipperary,175
10/04/2020,Wexford,42
10/04/2020,Kerry,170
10/04/2020,Waterford,67
10/04/2020,Westmeath,192
10/04/2020,Wicklow,263
10/04/2020,Galway,178
10/04/2020,Limerick,234
10/04/2020,Cork,648
10/04/2020,Dublin,4514
11/04/2020,Laois,88
11/04/2020,Leitrim,32
11/04/2020,Monaghan,95
11/04/2020,Carlow,38
11/04/2020,Cavan,222
11/04/2020,Clare,98
11/04/2020,Donegal,225
11/04/2020,Kildare,404
11/04/2020,Kilkenny,136
11/04/2020,Longford,56
11/04/2020,Louth,195
11/04/2020,Mayo,194
11/04/2020,Meath,289
11/04/2020,Offaly,133
11/04/2020,Roscommon,39
11/04/2020,Sligo,45
11/04/2020,Tipperary,200
11/04/2020,Wexford,52
11/04/2020,Kerry,200
11/04/2020,Waterford,73
11/04/2020,Westmeath,213
11/04/2020,Wicklow,272
11/04/2020,Galway,197
11/04/2020,Limerick,252
11/04/2020,Cork,730
11/04/2020,Dublin,5006
12/04/2020,Laois,101
12/04/2020,Leitrim,36
12/04/2020,Monaghan,123
12/04/2020,Carlow,44
12/04/2020,Cavan,245
12/04/2020,Clare,106
12/04/2020,Donegal,264
12/04/2020,Kildare,443
12/04/2020,Kilkenny,144
12/04/2020,Longford,58
12/04/2020,Louth,208
12/04/2020,Mayo,198
12/04/2020,Meath,342
12/04/2020,Offaly,144
12/04/2020,Roscommon,48
12/04/2020,Sligo,52
12/04/2020,Tipperary,219
12/04/2020,Wexford,56
12/04/2020,Kerry,219
12/04/2020,Waterford,81
12/04/2020,Westmeath,234
12/04/2020,Wicklow,317
12/04/2020,Galway,220
12/04/2020,Limerick,265
12/04/2020,Cork,780
12/04/2020,Dublin,5438
13/04/2020,Laois,118
13/04/2020,Leitrim,40
13/04/2020,Monaghan,147
13/04/2020,Carlow,53
13/04/2020,Cavan,254
